"","IrishA","IrishB","WelshN","WelshC","BretonList","BretonSE","BretonST","RumanianList","Vlach","Italian","Ladin","Provencal","French","Walloon","FrenchCreoleC","FrenchCreoleD","SardinianN","SardinianL","SardinianC","Spanish","PortugueseST","Brazilian","Catalan","GermanST","PennDutch","DutchList","Afrikaans","Flemish","Frisian","SwedishUp","SwedishVL","SwedishList","Danish","Riksmal","IcelandicST","Faroese","EnglishST","Takitaki","LithuanianO","LithuanianST","Latvian","Slovenian","LusatianL","LusatianU","Czech","Slovak","CzechE","Ukrainian","Byelorussian","Polish","Russian","Macedonian","Bulgarian","Serbocroatian","GypsyGk","Singhalese","Kashmiri","Marathi","Gujarati","PanjabiST","Lahnda","Hindi","Bengali","NepaliList","Khaskura","GreekML","GreekMD","GreekMod","GreekD","GreekK","ArmenianMod","ArmenianList","Ossetic","Afghan","Waziri","PersianList","Tadzik","Baluchi","Wakhi","AlbanianT","AlbanianTop","AlbanianG","AlbanianK","AlbanianC"
"IrishA",0,0.001210654,0.002906977,0.002923977,0.003215434,0.003236246,0.003134796,0.006711409,0.006896552,0.005586592,0.006060606,0.005952381,0.006134969,0.005952381,0.008130081,0.008064516,0.006451613,0.005952381,0.006493506,0.005952381,0.006134969,0.006024096,0.006451613,0.005586592,0.006097561,0.005882353,0.00591716,0.005681818,0.006060606,0.005291005,0.005263158,0.005235602,0.005291005,0.005882353,0.005154639,0.005555556,0.005586592,0.006410256,0.005235602,0.005291005,0.005882353,0.005555556,0.005780347,0.005617978,0.005747126,0.005780347,0.00617284,0.005524862,0.005780347,0.005780347,0.005208333,0.005,0.005847953,0.005494505,0.00990099,0.009803922,0.008474576,0.008474576,0.009009009,0.008403361,0.008403361,0.008403361,0.008403361,0.0078125,0.008695652,0.007518797,0.006622517,0.007042254,0.006944444,0.006289308,0.008333333,0.008928571,0.009009009,0.010752688,0.010989011,0.009615385,0.008333333,0.01,0.012195122,0.010526316,0.01010101,0.009615385,0.010204082,0.009174312
"IrishB",0.001210654,0,0.002816901,0.002777778,0.002985075,0.003115265,0.00304878,0.006134969,0.00625,0.005,0.005586592,0.005181347,0.005319149,0.005181347,0.006802721,0.006666667,0.005714286,0.005319149,0.005555556,0.005128205,0.005464481,0.005181347,0.005681818,0.005154639,0.005847953,0.005555556,0.005586592,0.005524862,0.005714286,0.005434783,0.005434783,0.005376344,0.005464481,0.006097561,0.005434783,0.005882353,0.005464481,0.00625,0.005050505,0.005102041,0.005681818,0.005235602,0.004854369,0.004739336,0.004716981,0.004878049,0.005291005,0.004672897,0.005,0.005,0.004587156,0.004830918,0.005494505,0.004901961,0.009174312,0.01010101,0.008264463,0.008264463,0.00877193,0.008547009,0.008196721,0.008196721,0.008196721,0.007633588,0.008474576,0.007633588,0.006666667,0.007092199,0.007042254,0.006289308,0.008196721,0.009174312,0.009708738,0.00952381,0.010752688,0.008928571,0.007751938,0.009174312,0.011111111,0.010204082,0.009345794,0.009433962,0.00990099,0.009009009
"WelshN",0.002906977,0.002816901,0,0.001064963,0.001564945,0.001589825,0.001560062,0.005319149,0.005291005,0.004830918,0.005025126,0.005128205,0.005263158,0.005128205,0.005681818,0.005747126,0.005154639,0.004830918,0.005154639,0.005347594,0.005102041,0.005,0.005494505,0.005555556,0.006410256,0.00625,0.00621118,0.005952381,0.005988024,0.006060606,0.006024096,0.005524862,0.005714286,0.006622517,0.005555556,0.005780347,0.006289308,0.00625,0.005291005,0.005181347,0.006329114,0.00617284,0.005405405,0.005405405,0.005,0.005154639,0.005405405,0.005319149,0.005434783,0.005617978,0.005494505,0.005347594,0.00617284,0.005586592,0.010309278,0.011494253,0.007751938,0.009345794,0.00990099,0.008695652,0.00877193,0.008064516,0.008403361,0.008695652,0.008196721,0.008064516,0.00729927,0.007518797,0.007407407,0.006451613,0.007936508,0.008849558,0.00990099,0.010752688,0.012195122,0.00990099,0.00862069,0.010416667,0.01,0.010638298,0.010204082,0.01010101,0.010638298,0.009615385
"WelshC",0.002923977,0.002777778,0.001064963,0,0.001626016,0.001639344,0.001620746,0.005181347,0.005181347,0.004739336,0.004926108,0.005025126,0.005154639,0.005025126,0.005714286,0.005780347,0.005050505,0.004739336,0.005076142,0.005263158,0.005,0.004926108,0.005347594,0.005405405,0.00625,0.006097561,0.006060606,0.005813953,0.005847953,0.00591716,0.005882353,0.005376344,0.005586592,0.006666667,0.005434783,0.005649718,0.006134969,0.006097561,0.005319149,0.005376344,0.006410256,0.005847953,0.005319149,0.005319149,0.004926108,0.005076142,0.005319149,0.005208333,0.005319149,0.005524862,0.005376344,0.005263158,0.006024096,0.005494505,0.010416667,0.010869565,0.007751938,0.008928571,0.00952381,0.008403361,0.008403361,0.007751938,0.008064516,0.008403361,0.008196721,0.0078125,0.007092199,0.007246377,0.007142857,0.00625,0.007633588,0.008474576,0.009433962,0.010869565,0.011494253,0.00952381,0.008264463,0.00990099,0.00952381,0.010638298,0.010204082,0.010204082,0.010638298,0.009615385
"BretonList",0.003215434,0.002985075,0.001564945,0.001626016,0,0.001126126,0.001076426,0.004716981,0.004950495,0.004237288,0.004587156,0.004464286,0.004672897,0.00456621,0.004975124,0.005025126,0.004484305,0.004237288,0.004504505,0.00456621,0.00456621,0.004484305,0.004830918,0.004854369,0.005347594,0.005376344,0.005235602,0.005319149,0.005319149,0.005847953,0.005649718,0.005181347,0.005235602,0.005813953,0.005405405,0.005464481,0.00591716,0.006097561,0.005494505,0.005235602,0.006451613,0.005494505,0.004975124,0.004975124,0.004739336,0.005025126,0.005076142,0.005154639,0.005102041,0.005319149,0.005050505,0.004950495,0.005649718,0.005025126,0.00990099,0.010309278,0.007462687,0.008474576,0.00952381,0.008,0.008064516,0.007407407,0.007692308,0.007692308,0.007194245,0.007462687,0.006802721,0.006944444,0.006849315,0.006024096,0.007936508,0.008928571,0.009803922,0.010204082,0.010869565,0.00952381,0.008264463,0.01,0.00952381,0.00952381,0.009259259,0.009090909,0.009615385,0.008695652
"BretonSE",0.003236246,0.003115265,0.001589825,0.001639344,0.001126126,0,0.001053741,0.004716981,0.004784689,0.004424779,0.004716981,0.004672897,0.004901961,0.004784689,0.005235602,0.005319149,0.004716981,0.004424779,0.004739336,0.004784689,0.004672897,0.004587156,0.004950495,0.004878049,0.005347594,0.005405405,0.005263158,0.005319149,0.005154639,0.005747126,0.005555556,0.005102041,0.005128205,0.005681818,0.005291005,0.005319149,0.005586592,0.005681818,0.005347594,0.005263158,0.00625,0.005524862,0.005025126,0.005025126,0.004784689,0.005050505,0.005128205,0.005181347,0.005154639,0.005319149,0.005102041,0.004830918,0.005524862,0.005050505,0.009345794,0.009803922,0.007246377,0.008196721,0.009090909,0.007692308,0.007692308,0.007142857,0.007407407,0.007407407,0.007194245,0.007751938,0.007092199,0.007246377,0.007092199,0.00625,0.007936508,0.008928571,0.008928571,0.009708738,0.010309278,0.00862069,0.007936508,0.009009009,0.008474576,0.009174312,0.008849558,0.00877193,0.009174312,0.008333333
"BretonST",0.003134796,0.00304878,0.001560062,0.001620746,0.001076426,0.001053741,0,0.004672897,0.004761905,0.004310345,0.00456621,0.004524887,0.004761905,0.004651163,0.005076142,0.005128205,0.00456621,0.004310345,0.004587156,0.004651163,0.004524887,0.004464286,0.004807692,0.004854369,0.005319149,0.005376344,0.005235602,0.005319149,0.005154639,0.005555556,0.005347594,0.004950495,0.005102041,0.005649718,0.005102041,0.005154639,0.005586592,0.005681818,0.005319149,0.005208333,0.00621118,0.005494505,0.005,0.004975124,0.004739336,0.005025126,0.005102041,0.005154639,0.005128205,0.005319149,0.005076142,0.004784689,0.005494505,0.005025126,0.009259259,0.009708738,0.007142857,0.008130081,0.009090909,0.007633588,0.007692308,0.007092199,0.007407407,0.007407407,0.007142857,0.007692308,0.007042254,0.007194245,0.007092199,0.006024096,0.007936508,0.008928571,0.008474576,0.009615385,0.010204082,0.00862069,0.007874016,0.009009009,0.008474576,0.009174312,0.00877193,0.008695652,0.009090909,0.008264463
"RumanianList",0.006711409,0.006134969,0.005319149,0.005181347,0.004716981,0.004716981,0.004672897,0,0.001383126,0.001515152,0.00155521,0.001607717,0.001727116,0.001712329,0.001949318,0.001949318,0.001733102,0.00166113,0.001672241,0.001683502,0.001589825,0.001644737,0.001733102,0.004016064,0.004273504,0.003937008,0.004016064,0.004310345,0.004366812,0.004504505,0.004587156,0.0041841,0.004219409,0.004672897,0.004484305,0.00462963,0.004405286,0.004716981,0.005025126,0.004926108,0.005586592,0.004761905,0.004347826,0.004347826,0.004484305,0.004405286,0.004672897,0.004975124,0.004716981,0.00462963,0.00456621,0.004504505,0.004950495,0.004504505,0.007462687,0.007352941,0.00621118,0.00617284,0.007092199,0.005780347,0.005952381,0.005780347,0.005952381,0.005952381,0.006802721,0.006802721,0.006666667,0.006369427,0.006493506,0.005952381,0.007352941,0.008474576,0.007246377,0.010638298,0.010204082,0.007352941,0.00729927,0.007575758,0.006711409,0.009174312,0.008849558,0.008695652,0.008849558,0.008
"Vlach",0.006896552,0.00625,0.005291005,0.005181347,0.004950495,0.004784689,0.004761905,0.001383126,0,0.001689189,0.001779359,0.001779359,0.001956947,0.001904762,0.002118644,0.002070393,0.001893939,0.001855288,0.001845018,0.001883239,0.001828154,0.001862197,0.001851852,0.004048583,0.004366812,0.004016064,0.004048583,0.004098361,0.004166667,0.004237288,0.004310345,0.004237288,0.004237288,0.004504505,0.004366812,0.004587156,0.004166667,0.004739336,0.00456621,0.004587156,0.004950495,0.004237288,0.004098361,0.004098361,0.004291845,0.004219409,0.004366812,0.004545455,0.004424779,0.004219409,0.004237288,0.004166667,0.004444444,0.004237288,0.007874016,0.006944444,0.005847953,0.006024096,0.006944444,0.005813953,0.005952381,0.005813953,0.005988024,0.005780347,0.006060606,0.005617978,0.005649718,0.005464481,0.005555556,0.005235602,0.006711409,0.007751938,0.007194245,0.009708738,0.009345794,0.006711409,0.006369427,0.007246377,0.006666667,0.008403361,0.008064516,0.008064516,0.008064516,0.007751938
"Italian",0.005586592,0.005,0.004830918,0.004739336,0.004237288,0.004424779,0.004310345,0.001515152,0.001689189,0,0.001201923,0.001222494,0.00124533,0.00129199,0.00143472,0.001451379,0.001373626,0.001254705,0.001367989,0.001269036,0.001293661,0.001273885,0.001308901,0.003773585,0.004,0.003846154,0.003861004,0.003984064,0.004081633,0.003937008,0.004,0.003861004,0.003802281,0.004065041,0.004081633,0.004132231,0.004048583,0.004651163,0.004273504,0.004132231,0.004587156,0.004166667,0.004,0.004,0.004048583,0.003984064,0.004237288,0.004424779,0.004219409,0.004237288,0.0041841,0.004,0.004329004,0.004081633,0.007518797,0.006578947,0.005780347,0.005988024,0.006578947,0.005434783,0.005464481,0.005494505,0.005780347,0.005617978,0.005952381,0.005952381,0.005649718,0.005617978,0.005747126,0.005263158,0.006578947,0.007246377,0.006993007,0.008333333,0.00877193,0.007092199,0.006369427,0.007352941,0.007142857,0.008695652,0.008130081,0.008333333,0.008196721,0.007462687
